,id,chave,rodada,equipe_mandante,equipe_visitante,is_finalizado,jogo_ficticio,hora_realizacao,jogo_id,data_realizacao,escalacao_equipe_mandante_id,escalacao_equipe_visitante_id,placar_oficial_mandante,placar_oficial_visitante,placar_penaltis_mandante,placar_penaltis_visitante,empate,suspenso,cancelado,wo,decisivo,publico_total,renda,renda_moeda,observacao,publico_pagante,ordem_na_chave,fase,sede,vencedor_jogo
69,8493,,7,Athletico-PR,Avai,True,False,19:00:00,287707,2022-05-22,478970,478971,2,1,,,False,False,False,False,False,,280155.0,REAL,,15949,,101,49,44
70,8494,,8,CAM,Avai,True,False,19:00:00,287728,2022-05-29,479112,479113,2,1,,,False,False,False,False,False,31551,808382.0,REAL,,25637,,101,52,15
71,8495,,8,Fluminense,Flamengo,True,False,18:00:00,287729,2022-05-29,479106,479107,1,2,,,False,False,False,False,False,57919,2137932.0,REAL,,53113,,101,28,17
72,8496,,8,Sao Paulo,Ceara,True,False,19:00:00,287730,2022-05-28,479098,479099,2,2,,,True,False,False,False,False,,1413274.0,REAL,,32977,,101,16,
73,8497,,8,Corinthians,America-MG,True,False,18:00:00,287731,2022-05-29,479108,479109,1,1,,,True,False,False,False,False,,2164285.0,REAL,,34922,,101,6,
74,8498,,8,Santos,Palmeiras,True,False,16:00:00,287732,2022-05-29,479102,479103,0,1,,,False,False,False,False,False,,416655.0,REAL,,14220,,101,2,5
75,8499,,8,Internacional,Atletico-GO,True,False,20:00:00,287733,2022-05-30,479114,479115,1,1,,,True,False,False,False,False,,470888.0,REAL,,11050,,101,53,
76,8500,,8,Fortaleza,Juventude,True,False,20:30:00,287734,2022-05-28,479100,479101,1,1,,,True,False,False,False,False,,175115.0,REAL,,22466,,101,99,
77,8501,,8,Goias,Bragantino,True,False,16:30:00,287735,2022-05-28,479096,479097,1,1,,,True,False,False,False,False,6283,95635.0,REAL,,4910,,101,177,
78,8502,,8,Cuiaba,Athletico-PR,True,False,18:00:00,287736,2022-05-29,479110,479111,0,1,,,False,False,False,False,False,4539,88580.0,REAL,,3827,,101,116,44
79,8503,,8,Coritiba,Botafogo,True,False,16:00:00,287737,2022-05-29,479104,479105,1,0,,,False,False,False,False,False,,465065.0,REAL,,20302,,101,111,40
80,8504,,9,America-MG,Cuiaba,True,False,16:30:00,287748,2022-06-04,479217,479218,2,1,,,False,False,False,False,False,2720,60175.0,REAL,,1196,,101,39,38
81,8505,,9,Flamengo,Fortaleza,True,False,16:00:00,287749,2022-06-05,479219,479220,1,2,,,False,False,False,False,False,63975,2484322.0,REAL,,59294,,101,28,69
82,8506,,9,Bragantino,Internacional,True,False,19:00:00,287750,2022-06-05,479228,479229,0,2,,,False,False,False,False,False,,53685.0,REAL,,3062,,101,4,12
83,8507,,9,Palmeiras,CAM,True,False,16:00:00,287751,2022-06-05,479224,479226,0,0,,,True,False,False,False,False,,2701274.0,REAL,,40235,,101,11,
84,8508,,9,Botafogo,Goias,True,False,20:00:00,287752,2022-06-06,479233,479234,1,2,,,False,False,False,False,False,30954,678070.0,REAL,,29133,,101,31,32
85,8509,,9,Juventude,Fluminense,True,False,11:00:00,287753,2022-06-05,479215,479216,1,0,,,False,False,False,False,False,2573,78665.0,REAL,,2271,,101,174,492
86,8510,,9,Ceara,Coritiba,True,False,19:00:00,287754,2022-06-04,479221,479222,1,1,,,True,False,False,False,False,27602,279859.0,REAL,,27509,,101,99,
87,8511,,9,Atletico-GO,Corinthians,True,False,20:30:00,287755,2022-06-04,479231,479232,0,1,,,False,False,False,False,False,12089,503005.0,REAL,,10887,,101,113,2
88,8512,,9,Avai,Sao Paulo,True,False,19:00:00,287756,2022-06-04,479223,479225,1,1,,,True,False,False,False,False,11962,620748.0,REAL,,11202,,101,100,
89,8513,,9,Athletico-PR,Santos,True,False,19:00:00,287757,2022-06-04,479227,479230,2,2,,,True,False,False,False,False,20466,633970.0,REAL,,19323,,101,49,
90,8514,,10,America-MG,Ceara,True,False,19:00:00,287768,2022-06-08,479288,479289,0,2,,,False,False,False,False,False,2132,57365.0,REAL,,1134,,101,39,31
91,8515,,10,Fluminense,CAM,True,False,21:30:00,287769,2022-06-08,479296,479297,5,3,,,False,False,False,False,False,16143,397080.0,REAL,,14910,,101,28,20
92,8516,,10,Bragantino,Flamengo,True,False,20:30:00,287770,2022-06-08,479292,479293,1,0,,,False,False,False,False,False,,301700.0,REAL,,8627,,101,4,11
93,8517,,10,Palmeiras,Botafogo,True,False,19:00:00,287771,2022-06-09,479300,479301,4,0,,,False,False,False,False,False,,2094253.0,REAL,,33431,,101,11,5
94,8518,,10,Santos,Internacional,True,False,21:30:00,287772,2022-06-08,479298,479299,1,1,,,True,False,False,False,False,,260880.0,REAL,,8845,,101,2,
95,8519,,10,Juventude,Athletico-PR,True,False,19:00:00,287773,2022-06-08,479290,479291,1,3,,,False,False,False,False,False,3590,113680.0,REAL,,3339,,101,174,44
96,8520,,10,Fortaleza,Goias,True,False,20:00:00,287774,2022-06-09,479302,479303,1,1,,,True,False,False,False,False,,230869.0,REAL,,30017,,101,99,
97,8521,,10,Atletico-GO,Avai,True,False,20:30:00,287775,2022-06-08,479294,479295,2,1,,,False,False,False,False,False,5251,46580.0,REAL,,4343,,101,113,47
98,8522,,10,Cuiaba,Corinthians,True,False,21:30:00,287776,2022-06-07,479424,479423,1,0,,,False,False,False,False,False,22129,1957010.0,REAL,,20591,,101,116,357
99,8523,,10,Coritiba,Sao Paulo,True,False,20:00:00,287777,2022-06-09,479304,479305,1,1,,,True,False,False,False,False,,633815.0,REAL,,21521,,101,111,
